0$Miguel García-Gómez
879$Vladimir Blagoderov
880$Fabian M. Commichau
881$Lovisa Wennerström
882$Rebecca Mary Bernadette Harris
883$P. Kanoko Maeda
884$Björn Nykvist
885$Daniela Fiedler
886$Tana Wuyun
887$Ariel E. Marcy
888$Sean Semple
889$Tobias Wang
890$Reshmita Nath
891$Cody Flagg
892$Pei-Chun Liao
893$Job Aben
894$Noah S. Diffenbaugh
895$Hui Yang
896$Rongfeng Jiang
897$John W. Anderson
898$Prasanta Subudhi
899$Richard M. Pace, III
900$Christina Weißbecker
901$Alexander P. Saveljev
902$Barbara Pawlik-Skowronska
903$Peleg Kremer
904$Yanghong Dong
905$John R. Poulsen
906$Richard Pearce
907$Annette Cowie
908$Moses John Chimbari
909$Patricia L. Howard
910$Renzo Vargas-Rodriguez
911$Maria Isabel Arce
912$Yanling Cao
913$Joel Delaveau
914$Nicola Saino
915$David M. Hondula
916$Colin K. Khoury
917$Philippa Cohen
918$Cândida Gomes Vale
919$Yuezhu Wang
920$Thushara Ranatunga
921$Mia Li
922$A. Santoro
923$Nicole Darmon
924$Angélica Pech-May
925$Dorian Litvine
926$Deanna M. Dulen
927$Ian D. Rotherham
928$Stuart Piertney
929$Andrea A. Azevedo
930$László Ferenczi
931$John R. Weinstein
932$Sarah A. Boyle
933$Hui Liu
934$Nibedita Mukherjee
935$Alissa Edoff
936$S.A. Al-Khateeb
937$Thomas A. Bell, Jr
938$Husain Mohd-Lokman
939$Babu Valliyodan
940$Guy Schurgers
941$Agustina di Virgilio
942$Binsong Jin
943$Mingguo Ma
944$M. Kalamandeen
945$E. T. F. Witkowski
946$Elizabeth Pinkard
947$Edward Maltby
948$Steve Olson
949$Peter J. White
950$Kun Bu
951$Lori S. Eggert
952$Yi-Ting Chiu
953$Fabrício Rodrigues Santos
954$Xian Wang
955$Rita D. Dixon
956$Margot van der Doef
957$Eimear Nic Lughadha
958$Cui-Ping Miao
959$Kevin G. Smith
960$Alexander Kitaysky
961$L. Hoebeke
962$Jia Yun
963$Jesús San-Miguel-Ayanz
964$Marjorie da Silva
965$Alexander V. Kondakov
966$Elif Neyran Soylu
967$Siriluck Nivitchanyong
968$Hirokazu Urabe
969$Anja Žmegač
970$John Ford
971$Juliana A. Vianna
972$Jorge Ruiz-Orera
973$Ulrike Koll
974$Matthew Warren
975$Jonathan Belmaker
976$Bjarte Bogstad
977$Yanmin Shuai
978$Thomas Palo
979$Guodong Yin
980$Jeremy Fonvielle
981$Anders Nielsen
982$Carles Vilà
983$Megha Phutane
984$J. T. Mulliniks
985$Ariel Rodríguez
986$Angela M. Pitera
987$Richard Bischof
988$William C. Pitt
989$Zach Johnson
990$John F. Hernandez Nopsa
991$EM Wood
992$F. Matawa
993$Sanjeeta Sharma Pokharel
994$Ariadna Rangel-Negrín
995$Ali Al Kiyumi
996$Amit Dhingra
997$James H. Barrett
998$M. Coll
999$Guy Lomax
1000$Hervé Sanguin
1001$S. Dzikiti
1002$Xuan Gao
1003$Louis Sutter
1004$Ana Nuno
1005$David J. Mellor
1006$Brett W. Petersen
1007$Rowin J van Lanen
1008$Irene Keller
1009$Rabih Halwani
1010$Sergio González
1011$Lixin Wang
1012$Marcos Hervás
1013$Celio F. B. Haddad
1014$Yubao Gao
1015$Sunil Dhiman
1016$Daniel M. Tompkins
1017$Roman Seliger
1018$Keith A. Hobson
1019$Steven M. Ostoja
1020$Patricia Abdian
1021$Eduardo A. Undurraga
1022$Molly Scott
1023$Jakub Kronenberg
1024$Kenneth R. Young
1025$Natalie Wallsgrove
1026$Madhu Meeta
1027$Nathan Moore
1028$Ashley E. Franks
1029$Daniel P Cariveau
1030$Isabel L. Jones
1031$Dimitrios Zervas
1032$Yuxiu Chen
1033$Chiara Piroddi
1034$Nedeljka Rosic
1035$Crystal B. Schaaf
1036$Roger F. Auch
1037$Jillian E. Hancock
1038$Richard Webster
1039$Eric Malezieux
1040$Kazeem O. Okosun
1041$Mônica da Silva-Nunes
1042$Minoru Yoshikawa
1043$Marie-Christine Van Labeke
1044$Daniel R. Hitchcock
1045$Sasha Cárdenas
1046$Timo Tokola
1047$Ming Kuo
1048$Line Gordon
1049$Chang-Bae Lee
1050$Michal Woyciechowski
1051$Mark A. Drummond
1052$Godwell Nhamo
1053$A. Ossola
1054$Marco S Gottschalk
1055$Santiago Linorio Ferreyra Ramos
1056$Pachka Hammami
1057$Andrew N Miller
1058$Päivi Rinta
1059$Carly N. Cook
1060$Rutherford V. Platt
1061$John G. Bishop
1062$Kirsten Schwarz
1063$Martin Castonguay
1064$Cara Walter
1065$S. S. Wheeler
1066$Bjorn J. M. Robroek
1067$Lorenzo Costantini
1068$Paxie W. Chirwa
1069$Nicola Bryson-Morrison
1070$Martin Llewellyn
1071$Xiankun Yang
1072$Leonie K. Fischer
1073$Antonio Gasparrini
1074$C. E. Smyth
1075$Guang Zhao
1076$Antti Lipponen
1077$Geoffrey I. Scott
1078$Maxime Le Cesne
1079$Adilson E. Motter
1080$Juan F. Masello
1081$Allan B. James
1082$Dênis Antônio da Cunha
1083$Youssef Zeroual
1084$Insu Jo
1085$Xiaojuan Xia
1086$Cristina A. Fernandez
1087$Yun Jia
1088$Somboon Kiratiprayoon
1089$Bhaiya Khanal
1090$Elizabeth A. McHuron
1091$Peter Schippers
1092$Christopher B. Barrett
1093$Fu-Wu Xing
1094$Rokjin J. Park
1095$Ling Ding
1096$Kees Oosterbeek
1097$Xiaoli Hu
1098$Bjørn Dahle
1099$Miaoxian Yang
1100$Daniel R. Miranda‐Esquivel
1101$James Umbanhowar
1102$Zhenbin Hu
1103$Aiting Wu
1104$Thomas Merckx
1105$P. Joly
1106$Julio A. Vásquez
1107$Rachel Sanders
1108$Thais Vilela
1109$Malcolm Tull
1110$Lee F. Skerratt
1111$Samaneh Solhjouy-fard
1112$Joanna L. Kelley
1113$David Sear
1114$Heather A. Johnson
1115$Keith R. Willmott
1116$Yi Yin
1117$Fang-Chao Wang
1118$Steve Jordan
1119$Chris Brown
1120$Grant M. Domke
